-0.7	2.2979
-0.69988	2.3215
-0.69977	2.3451
-0.69965	2.3693
-0.69953	2.393
-0.69942	2.4167
-0.6993	2.4333
-0.69918	2.4449
-0.69907	2.4565
-0.69895	2.4682
-0.69883	2.4544
-0.69872	2.4324
-0.6986	2.4104
-0.69848	2.3881
-0.69837	2.349
-0.69825	2.2974
-0.69813	2.2459
-0.69802	2.2049
-0.6979	2.1856
-0.69778	2.1439
-0.69767	2.1021
-0.69755	2.01
-0.69743	1.9848
-0.69732	1.9597
-0.6972	1.9353
-0.69708	1.911
-0.69697	1.8866
-0.69685	1.8637
-0.69673	1.8431
-0.69662	1.8226
-0.6965	1.802
-0.69638	1.7263
-0.69627	1.6441
-0.69615	1.5942
-0.69603	1.565
-0.69592	1.5401
-0.6958	1.5128
-0.69568	1.4855
-0.69557	1.4582
-0.69545	1.4464
-0.69533	1.4425
-0.69522	1.4548
-0.6951	1.4658
-0.69498	1.4783
-0.69487	1.4954
-0.69475	1.5125
-0.69463	1.5296
-0.69452	1.5478
-0.6944	1.585
-0.69428	1.6177
-0.69417	1.6649
-0.69405	1.7123
-0.69393	1.7505
-0.69382	1.7895
-0.6937	1.8211
-0.69358	1.8528
-0.69347	1.9086
-0.69335	1.9956
-0.69323	2.1264
-0.69312	2.2353
-0.693	2.345
-0.69288	2.4546
-0.69277	2.5641
-0.69265	2.6737
-0.69253	2.9701
-0.69242	3.2745
-0.6923	3.2974
-0.69218	3.3311
-0.69207	3.3648
-0.69195	3.3981
-0.69183	3.4319
-0.69172	3.3236
-0.6916	3.03
-0.69148	3.1065
-0.69137	3.0703
-0.69125	2.8885
-0.69113	2.8779
-0.69102	2.8606
-0.6909	2.7451
-0.69078	2.6596
-0.69067	2.5985
-0.69055	2.5375
-0.69043	2.474
-0.69032	2.4278
-0.6902	2.3821
-0.69008	2.3255
-0.68997	2.2688
-0.68985	2.213
-0.68973	2.1989
-0.68962	2.1885
-0.6895	2.1845
-0.68938	2.2066
-0.68927	2.273
-0.68915	2.34
-0.68903	2.407
-0.68892	2.5212
-0.6888	2.6038
-0.68868	2.765
-0.68857	2.9682
-0.68845	3.1713
-0.68833	3.171
-0.68822	2.6816
