2	0.06695769678589693	0.8916535214683045
4	0.062203874488211436	0.8512310020272685
6	0.07197542502294055	0.8154944427425196
8	0.08189142433238925	0.784177247552659
10	0.09199096142669305	0.7560115449786756
12	0.1022755456176985	0.730290060657864
14	0.11272909071631428	0.7065612691865999
16	0.12332686182026756	0.6845091000776379
18	0.13404035299810485	0.6638974281540342
20	0.1448412035056785	0.6444958400431646
22	0.15570337824255862	0.6262331261652656
24	0.16660410355747307	0.6089373012400591
26	0.17752713898174044	0.5924909297893065
28	0.18846379298402915	0.5767859378775355
30	0.19941428610088696	0.5617213136843812
32	0.21038985344400832	0.5471983921081611
34	0.22141470497231233	0.5331180301193492
36	0.2325296959074082	0.5193767773740596
38	0.24379798674432432	0.5058618855437156
40	0.25531597397086475	0.49244082393307914
42	0.2669339816520294	0.4789130212596131
44	0.2793096940103254	0.46502672722416194
46	0.2925987636229986	0.4504216623723219
48	0.30747868635173303	0.4343903876765282
50	0.325671970578174	0.4151901379444198
52	0.35805945664141525	0.3818424430110267
54	0.38533125878110785	0.38539768658276
